Item Name,Item Cost,Gaya Cost
Cor Draconis (Raro),0,3
Pedra do Ferreiro,55,35
Metal Mágico,25,20
Maixa de Mestre (Básica),10,50
Livro Negro+,100,30
Cabeça Encolhida,45,15
Pedra de Sangue,7,6
Chave Torcida (x3),45,35
Passagem Forte Vermelho,40,25
Passagem Torre Nemere,40,25
Elixir do Sol (G),0,10
Elixir da Lua (G),0,10
Snack de Proteína,90,30
Cofre do Livro do Pet,0,150
Feijão do Dragão Verde,30,20
Feijão do Dragão Azul,45,40
Feijão do Dragão Rosa,60,60
Feitiço para Itens (M) (x20),30,50
Cor Draconis (Antigo),0,70
Pedra Mágica,190,200
Faixa de Lorde (Básica),25,55
Sementes Mágicas,100,65
Areia de Quartzo,65,55
Cinzas do Demónio,15,50
Cristal de Água,45,55
Cristal Azul,55,55
Espiral do Tempo (10%),100,60
Espiral das Ilusões (10%),0,60
Aditivo Médio,150,60
Orison Pequena,80,30
Pedaço de Pedra (x20),100,30
Elixir do Sol (E),0,25
Elixir da Lua (E),0,25
Poção de Velocidade (x5),0,30
Poção de Ataque +15 (x10),0,30
Vidro do Negócio,400,60
Pacote de Caxemira,0,90
Caixa de Transporte,250,150
Caixa Mistério para Pets,0,150
Feitiço para Pets,330,210
Feitiço para Itens (P) (x5),150,185
Espiral do Tempo (20%),200,90
Espiral das Ilusões (20%),0,90
Cor Draconis (Lendário),0,165
Pinças do Dragão+,10000,1500
Pedra do Ritual,2200,750
Ágata,700,600
Pedra Lunar,1100,750
Snack do Poder (7 dias),600,210
Cofre Lascas Poder Luz.,0,210
Chama do Dragão,350,120
Orison,800,210
Aditivo Grande,300,90
Selo Mini-Executor (7 dias),0,150
